time,co2mass
1950,2.436845e+15
1951,2.4385603e+15
1952,2.441016e+15
1953,2.4439193e+15
1954,2.4466724e+15
1955,2.4492185e+15
1956,2.451474e+15
1957,2.4538292e+15
1958,2.456559e+15
1959,2.4604507e+15
1960,2.4663852e+15
1961,2.4717652e+15
1962,2.4772585e+15
1963,2.4822192e+15
1964,2.4872467e+15
1965,2.4917902e+15
1966,2.4990683e+15
1967,2.50454e+15
1968,2.5112483e+15
1969,2.5186985e+15
1970,2.529154e+15
1971,2.5361164e+15
1972,2.5505607e+15
1973,2.568221e+15
1974,2.575773e+15
1975,2.5777022e+15
1976,2.5838e+15
1977,2.596592e+15
1978,2.6096015e+15
1979,2.6226847e+15
1980,2.637777e+15
1981,2.6481904e+15
1982,2.6546186e+15
1983,2.6662886e+15
1984,2.6794682e+15
1985,2.6910456e+15
1986,2.7028004e+15
1987,2.7176516e+15
1988,2.7356362e+15
1989,2.7487042e+15
1990,2.7583528e+15
1991,2.7678616e+15
1992,2.7748e+15
1993,2.7810072e+15
1994,2.7913833e+15
1995,2.8060554e+15
1996,2.8195894e+15
1997,2.8312781e+15
1998,2.849983e+15
1999,2.8649706e+15
2000,2.8759573e+15
2001,2.8883448e+15
2002,2.9049516e+15
2003,2.9236583e+15
2004,2.9373526e+15
2005,2.9520934e+15
2006,2.9678648e+15
2007,2.9812895e+15
2008,2.996834e+15
2009,3.0102178e+15
2010,3.0282062e+15
2011,3.0456676e+15
2012,3.062524e+15
2013,3.082139e+15
2014,3.0978512e+15
